Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious/Critical,Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Case Fatality Ratio,Population,Density P/Km2,Land Area Km2,Median Age,Urban Population %,CODE
Costa Rica,655.0,,4.0,,97.0,554.0,10.0,129.0,0.8,10138.0,1990.0,0.61,5094118.0,100.0,51060.0,33.0,80.0,AND
Niger,639.0,,19.0,,113.0,507.0,,26.0,0.8,4715.0,195.0,2.97,24206644.0,19.0,1266700.0,15.0,17.0,LBN
Burkina Faso,565.0,,36.0,,321.0,208.0,,27.0,2.0,,,6.37,20903273.0,76.0,273600.0,18.0,31.0,CRI
Albania,548.0,,26.0,,302.0,220.0,5.0,190.0,9.0,5311.0,1846.0,4.74,2877797.0,105.0,27400.0,36.0,63.0,NGA
Nigeria,542.0,,19.0,,166.0,357.0,2.0,3.0,0.09,7153.0,35.0,3.51,206139589.0,226.0,910770.0,18.0,52.0,BFA
Bolivia,520.0,27.0,32.0,1.0,31.0,457.0,3.0,45.0,3.0,3569.0,306.0,6.15,11673021.0,11.0,1083300.0,26.0,69.0,ALB
Guinea,518.0,,3.0,,65.0,450.0,,39.0,0.2,,,0.58,13132795.0,53.0,245720.0,18.0,39.0,NGA
Uruguay,517.0,,9.0,,298.0,210.0,14.0,149.0,3.0,12478.0,3592.0,1.74,3473730.0,20.0,175020.0,36.0,96.0,BOL
Kyrgyzstan,506.0,,5.0,,130.0,371.0,5.0,78.0,0.8,26147.0,4008.0,0.99,6524195.0,34.0,191800.0,26.0,36.0,GIN
Channel Islands,484.0,,21.0,,73.0,390.0,,2784.0,121.0,3320.0,19095.0,4.34,173863.0,915.0,190.0,43.0,30.0,URY
Honduras,457.0,,46.0,,10.0,401.0,10.0,46.0,5.0,2396.0,242.0,10.07,9904607.0,89.0,111890.0,24.0,57.0,KGZ
San Marino,455.0,,39.0,,60.0,356.0,15.0,13410.0,1149.0,1605.0,47302.0,8.57,33931.0,566.0,60.0,,97.0,No data found for country
Malta,426.0,,3.0,,99.0,324.0,4.0,965.0,7.0,23253.0,52663.0,0.7,441543.0,1380.0,320.0,43.0,93.0,HND
Palestine,418.0,,2.0,,69.0,347.0,,82.0,0.4,17329.0,3397.0,0.48,5101414.0,847.0,6020.0,21.0,80.0,SMR
Jordan,413.0,,7.0,,269.0,137.0,5.0,40.0,0.7,20500.0,2009.0,1.69,10203134.0,115.0,88780.0,24.0,91.0,MLT
Réunion,407.0,,,,237.0,170.0,4.0,455.0,,,,,895312.0,358.0,2500.0,36.0,100.0,PSE
Taiwan,398.0,,6.0,,178.0,214.0,,17.0,0.3,52445.0,2202.0,1.51,23816775.0,673.0,35410.0,42.0,79.0,JOR
Georgia,388.0,,4.0,,86.0,298.0,6.0,97.0,1.0,5027.0,1260.0,1.03,3989167.0,57.0,69490.0,38.0,58.0,REU
Senegal,350.0,,3.0,,211.0,136.0,1.0,21.0,0.2,,,0.86,16743927.0,87.0,192530.0,19.0,49.0,TWN
Mauritius,325.0,,9.0,,180.0,136.0,3.0,256.0,7.0,9755.0,7670.0,2.77,1271768.0,626.0,2030.0,37.0,41.0,GEO
Montenegro,307.0,,5.0,,55.0,247.0,7.0,489.0,8.0,3874.0,6168.0,1.63,628066.0,47.0,13450.0,39.0,68.0,MUS
DRC,307.0,,25.0,,26.0,256.0,,3.0,0.3,,,8.14,89561403.0,40.0,2267050.0,17.0,46.0,SEN
Isle of Man,297.0,,6.0,,180.0,111.0,11.0,3493.0,71.0,2414.0,28389.0,2.02,85033.0,149.0,570.0,,53.0,MNE
Vietnam,268.0,,,,201.0,67.0,8.0,3.0,,206253.0,2119.0,,97338579.0,314.0,310070.0,32.0,38.0,No data found for country
Kenya,262.0,,12.0,,60.0,190.0,2.0,5.0,0.2,10784.0,201.0,4.58,53771296.0,94.0,569140.0,20.0,28.0,IMN
Guatemala,257.0,22.0,7.0,,21.0,229.0,3.0,14.0,0.4,7200.0,402.0,2.72,17915568.0,167.0,107160.0,23.0,52.0,VNM
Mayotte,254.0,,4.0,,117.0,133.0,6.0,931.0,15.0,1800.0,6598.0,1.57,272815.0,728.0,375.0,20.0,46.0,GTM
Sri Lanka,254.0,,7.0,,86.0,161.0,1.0,12.0,0.3,4768.0,223.0,2.76,21413249.0,341.0,62710.0,34.0,18.0,KEN
Venezuela,227.0,,9.0,,117.0,101.0,4.0,8.0,0.3,299714.0,10540.0,3.96,28435940.0,32.0,882050.0,30.0,,FRA
Mali,216.0,,13.0,,41.0,162.0,,11.0,0.6,,,6.02,20250833.0,17.0,1220190.0,16.0,44.0,LKA
Paraguay,206.0,4.0,8.0,,41.0,157.0,1.0,29.0,1.0,4950.0,694.0,3.88,7132538.0,18.0,397300.0,26.0,62.0,VEN
El Salvador,190.0,,7.0,,43.0,140.0,1.0,29.0,1.0,10191.0,1571.0,3.68,6486205.0,313.0,20720.0,28.0,73.0,MLI
Faeroe Islands,184.0,,,,173.0,11.0,,3766.0,,5981.0,122403.0,,48863.0,35.0,1396.0,,43.0,PRY
Jamaica,173.0,10.0,5.0,,25.0,143.0,,58.0,2.0,1605.0,542.0,2.89,2961167.0,273.0,10830.0,31.0,55.0,SLV
Martinique,163.0,,12.0,,73.0,78.0,11.0,434.0,32.0,,,7.36,375265.0,354.0,1060.0,47.0,92.0,No data found for country
Guadeloupe,148.0,,8.0,,73.0,67.0,13.0,370.0,20.0,,,5.41,400124.0,237.0,1690.0,44.0,,JAM
Tanzania,147.0,,5.0,,11.0,131.0,4.0,2.0,0.08,,,3.4,59734218.0,67.0,885800.0,18.0,37.0,MTQ
Rwanda,144.0,,,,69.0,75.0,,11.0,,6237.0,482.0,,12952218.0,525.0,24670.0,20.0,18.0,FRA
Congo,143.0,,6.0,,11.0,126.0,,26.0,1.0,,,4.2,5518087.0,16.0,341500.0,19.0,70.0,TZA
Brunei,137.0,,1.0,,113.0,23.0,2.0,313.0,2.0,11254.0,25725.0,0.73,437479.0,83.0,5270.0,32.0,80.0,RWA
Somalia,135.0,,7.0,,2.0,126.0,2.0,8.0,0.4,,,5.19,15893222.0,25.0,627340.0,17.0,47.0,COG
Gibraltar,132.0,,,,111.0,21.0,1.0,3918.0,,1859.0,55178.0,,33691.0,3369.0,10.0,,,BRN
Cambodia,122.0,,,,103.0,19.0,1.0,7.0,,5768.0,345.0,,16718965.0,95.0,176520.0,26.0,24.0,SOM
Madagascar,120.0,,,,35.0,85.0,1.0,4.0,,2357.0,85.0,,27691018.0,48.0,581795.0,20.0,39.0,GIB
Trinidad and Tobago,114.0,,8.0,,21.0,85.0,,81.0,6.0,1320.0,943.0,7.02,1399488.0,273.0,5130.0,36.0,52.0,KHM
Gabon,108.0,,1.0,,7.0,100.0,,49.0,0.4,572.0,257.0,0.93,2225734.0,9.0,257670.0,23.0,87.0,MDG
Myanmar,107.0,9.0,5.0,,5.0,97.0,,2.0,0.09,4065.0,75.0,4.67,54409800.0,83.0,653290.0,29.0,31.0,TTO
Ethiopia,105.0,,3.0,,16.0,86.0,1.0,0.9,0.03,6890.0,60.0,2.86,114963588.0,115.0,1000000.0,19.0,21.0,GAB
French Guiana,96.0,,,,64.0,32.0,2.0,321.0,,,,,298682.0,4.0,82200.0,25.0,87.0,ETH
Aruba,96.0,,2.0,,44.0,50.0,4.0,899.0,19.0,1358.0,12719.0,2.08,106766.0,593.0,180.0,41.0,44.0,MMR
Monaco,94.0,,3.0,,22.0,69.0,3.0,2395.0,76.0,,,3.19,39242.0,26337.0,1.0,,,GUF
Togo,84.0,,5.0,,49.0,30.0,,10.0,0.6,4191.0,506.0,5.95,8278724.0,152.0,54390.0,19.0,43.0,ABW
Bermuda,83.0,,5.0,,35.0,43.0,9.0,1333.0,80.0,552.0,8863.0,6.02,62278.0,1246.0,50.0,,97.0,MCO
Liechtenstein,79.0,,1.0,,55.0,23.0,,2072.0,26.0,900.0,23605.0,1.27,38128.0,238.0,160.0,,15.0,TGO
Equatorial Guinea,79.0,,,,4.0,75.0,,56.0,,854.0,609.0,,1402985.0,50.0,28050.0,22.0,73.0,BMU
Liberia,76.0,,7.0,,7.0,62.0,,15.0,1.0,,,9.21,5057681.0,53.0,96320.0,19.0,53.0,LIE
Barbados,75.0,,5.0,,17.0,53.0,4.0,261.0,17.0,1000.0,3480.0,6.67,287375.0,668.0,430.0,40.0,31.0,GNQ
Sudan,66.0,,10.0,,6.0,50.0,,2.0,0.2,,,15.15,43849260.0,25.0,1765048.0,20.0,35.0,LBR
Sint Maarten,64.0,,9.0,,12.0,43.0,6.0,1493.0,210.0,163.0,3802.0,14.06,42876.0,1261.0,34.0,,96.0,BRB
Guyana,63.0,,6.0,,9.0,48.0,4.0,80.0,8.0,283.0,360.0,9.52,786552.0,4.0,196850.0,27.0,27.0,SDN
Cayman Islands,61.0,,1.0,,7.0,53.0,3.0,928.0,15.0,702.0,10681.0,1.64,65722.0,274.0,240.0,,97.0,NLD
Cabo Verde,58.0,,1.0,,1.0,56.0,,104.0,2.0,,,1.72,555987.0,138.0,4030.0,28.0,68.0,GUY
Zambia,57.0,,2.0,,33.0,22.0,1.0,3.0,0.1,2191.0,119.0,3.51,18383955.0,25.0,743390.0,18.0,45.0,CYM
Bahamas,55.0,,9.0,,10.0,36.0,1.0,140.0,23.0,,,16.36,393244.0,39.0,10010.0,32.0,86.0,CPV
French Polynesia,55.0,,,,2.0,53.0,1.0,196.0,,1302.0,4635.0,,280908.0,77.0,3660.0,34.0,64.0,ZMB
Uganda,55.0,,,,22.0,33.0,,1.0,,11101.0,243.0,,45741007.0,229.0,199810.0,17.0,26.0,BHS
Libya,49.0,,1.0,,11.0,37.0,,7.0,0.1,707.0,103.0,2.04,6871292.0,4.0,1759540.0,29.0,78.0,PYF
Guinea-Bissau,46.0,,,,,46.0,,23.0,,1500.0,762.0,,1968001.0,70.0,28120.0,19.0,45.0,UGA
Macao,45.0,,,,16.0,29.0,1.0,69.0,,,,,649335.0,21645.0,30.0,39.0,,LBY
Haiti,44.0,,3.0,,,41.0,,4.0,0.3,498.0,44.0,6.82,11402528.0,414.0,27560.0,24.0,57.0,GNB
Eritrea,39.0,,,,3.0,36.0,,11.0,,,,,3546421.0,35.0,101000.0,19.0,63.0,MAC
Syria,38.0,,2.0,,5.0,31.0,,2.0,0.1,,,5.26,17500658.0,95.0,183630.0,26.0,60.0,HTI
Saint Martin,37.0,,2.0,,19.0,16.0,5.0,957.0,52.0,,,5.41,38666.0,730.0,53.0,,0.0,ERI
Maldives,35.0,,,,16.0,19.0,,65.0,,3714.0,6871.0,,540544.0,1802.0,300.0,30.0,35.0,MAF
Mozambique,35.0,,,,4.0,31.0,,1.0,,952.0,30.0,,31255435.0,40.0,786380.0,18.0,38.0,MDV
Benin,35.0,,1.0,,18.0,16.0,,3.0,0.08,,,2.86,12123200.0,108.0,112760.0,19.0,48.0,SYR
Chad,33.0,,,,8.0,25.0,,2.0,,,,,16425864.0,13.0,1259200.0,17.0,23.0,MOZ
Mongolia,31.0,,,,5.0,26.0,,9.0,,1450.0,442.0,,3278290.0,2.0,1553560.0,28.0,67.0,TCD
Nepal,31.0,,,,3.0,28.0,,1.0,,15800.0,542.0,,29136808.0,203.0,143350.0,25.0,21.0,BEN
Sierra Leone,30.0,,,,,30.0,,4.0,,,,,7976983.0,111.0,72180.0,19.0,43.0,MNG
Zimbabwe,25.0,,3.0,,2.0,20.0,,2.0,0.2,2626.0,177.0,12.0,14862924.0,38.0,386850.0,19.0,38.0,NPL
Angola,24.0,,2.0,,6.0,16.0,,0.7,0.06,,,8.33,32866272.0,26.0,1246700.0,17.0,67.0,SLE
Antigua and Barbuda,23.0,,3.0,,3.0,17.0,1.0,235.0,31.0,73.0,745.0,13.04,97929.0,223.0,440.0,34.0,26.0,ZWE
Eswatini,22.0,,1.0,,8.0,13.0,,19.0,0.9,714.0,615.0,4.55,1160164.0,67.0,17200.0,21.0,30.0,AGO
Laos,19.0,,,,2.0,17.0,,3.0,,1318.0,181.0,,7275560.0,32.0,230800.0,24.0,36.0,ATG
Timor-Leste,18.0,,,,1.0,17.0,,14.0,,,,,1318445.0,89.0,14870.0,21.0,33.0,TLS
New Caledonia,18.0,,,,14.0,4.0,1.0,63.0,,3399.0,11906.0,,285498.0,16.0,18280.0,34.0,72.0,No data found for country
Belize,18.0,,2.0,,,16.0,1.0,45.0,5.0,651.0,1637.0,11.11,397628.0,17.0,22810.0,25.0,46.0,SWZ
Malawi,17.0,,2.0,,3.0,12.0,1.0,0.9,0.1,417.0,22.0,11.76,19129952.0,203.0,94280.0,18.0,18.0,NCL
Fiji,17.0,,,,,17.0,,19.0,,,,,896445.0,49.0,18270.0,28.0,59.0,BLZ
Dominica,16.0,,,,8.0,8.0,,222.0,,345.0,4793.0,,71986.0,96.0,750.0,,74.0,MWI
Namibia,16.0,,,,6.0,10.0,,6.0,,499.0,196.0,,2540905.0,3.0,823290.0,22.0,55.0,FJI
Botswana,15.0,,1.0,,,14.0,,6.0,0.4,3602.0,1532.0,6.67,2351627.0,4.0,566730.0,24.0,73.0,DMA
Saint Lucia,15.0,,,,11.0,4.0,,82.0,,344.0,1873.0,,183627.0,301.0,610.0,34.0,19.0,NAM
Curaçao,14.0,,1.0,,11.0,2.0,,85.0,6.0,286.0,1743.0,7.14,164093.0,370.0,444.0,42.0,89.0,BWA
Grenada,14.0,,,,6.0,8.0,4.0,124.0,,92.0,818.0,,112523.0,331.0,340.0,32.0,35.0,LCA
St. Vincent Grenadines,12.0,,,,1.0,11.0,,108.0,,87.0,784.0,,110940.0,284.0,390.0,33.0,53.0,NLD
Seychelles,11.0,,,,5.0,6.0,,112.0,,,,,98347.0,214.0,460.0,34.0,56.0,TCA
Falkland Islands,11.0,,,,3.0,8.0,,3161.0,,319.0,91667.0,,3480.0,0.0,12170.0,,66.0,No data found for country
Turks and Caicos,11.0,,1.0,,,10.0,,284.0,26.0,83.0,2144.0,9.09,38717.0,41.0,950.0,,89.0,GRD
Montserrat,11.0,,,,2.0,9.0,1.0,2204.0,,36.0,7212.0,,4992.0,50.0,100.0,,10.0,FLK
Greenland,11.0,,,,11.0,0.0,,194.0,,1043.0,18372.0,,56770.0,0.0,410450.0,,87.0,SYC
Suriname,10.0,,1.0,,6.0,3.0,,17.0,2.0,,,10.0,586632.0,4.0,156000.0,29.0,65.0,MSR
Nicaragua,9.0,,2.0,,6.0,1.0,,1.0,0.3,,,22.22,6624554.0,55.0,120340.0,26.0,57.0,GRL
Gambia,9.0,,1.0,,2.0,6.0,,4.0,0.4,316.0,131.0,11.11,2416668.0,239.0,10120.0,18.0,59.0,SUR
Mauritania,7.0,,1.0,,6.0,0.0,,2.0,0.2,913.0,196.0,14.29,4649658.0,5.0,1030700.0,20.0,57.0,NIC
Papua New Guinea,7.0,,,,,7.0,,0.8,,167.0,19.0,,8947024.0,20.0,452860.0,22.0,13.0,GMB
Western Sahara,6.0,,,,,6.0,,10.0,,,,,597339.0,2.0,266000.0,28.0,87.0,PNG
St. Barth,6.0,,,,5.0,1.0,,607.0,,,,,9877.0,470.0,21.0,,0.0,MRT
Burundi,5.0,,1.0,,,4.0,,0.4,0.08,80.0,7.0,20.0,11890784.0,463.0,25680.0,17.0,14.0,ESH
Bhutan,5.0,,,,2.0,3.0,,6.0,,8107.0,10507.0,,771608.0,20.0,38117.0,28.0,46.0,No data found for country
British Virgin Islands,4.0,,,,2.0,2.0,,132.0,,,,,30231.0,202.0,150.0,,52.0,BDI
South Sudan,4.0,,,,,4.0,,0.4,,,,,11193725.0,18.0,610952.0,19.0,25.0,BTN
Anguilla,3.0,,,,1.0,2.0,,200.0,,,,,15003.0,167.0,90.0,,,VGB
Caribbean Netherlands,3.0,,,,,3.0,,114.0,,10.0,381.0,,26223.0,80.0,328.0,,75.0,SSD
Yemen,1.0,,,,,1.0,,0.03,,,,,29825964.0,56.0,527970.0,20.0,38.0,AIA
